Year,Month,Day,Location,Rep,Treatment,TermTiming,Zone,Species,Intercepts
2018,2,14,Tehama,2,Soil,Late,Alley,SINAL,44
2018,2,14,Tehama,2,Soil,Late,Alley,LOLMU,5
2018,2,14,Tehama,2,Soil,Late,Alley,VICVI,1
2018,2,14,Tehama,2,Soil,Late,Strip,BROIN,2
2018,2,14,Tehama,2,Soil,Late,Strip,CYNDA,3
2018,2,14,Tehama,2,Soil,Late,Strip,TRFRE,2
2018,2,14,Tehama,2,Soil,Late,Strip,RAPSR,1
2018,2,14,Tehama,2,Soil,Late,Strip,NONE,42
2018,2,14,Tehama,2,Pollinator,Late,Alley,SINAL,50
2018,2,14,Tehama,2,Pollinator,Late,Strip,CYNDA,2
2018,2,14,Tehama,2,Pollinator,Late,Strip,TRFRE,5
2018,2,14,Tehama,2,Pollinator,Late,Strip,SONOL,1
2018,2,14,Tehama,2,Pollinator,Late,Strip,NONE,42
2018,2,14,Tehama,3,Standard,Late,Alley,CYNDA,6
2018,2,14,Tehama,3,Standard,Late,Alley,ANGAR,7
2018,2,14,Tehama,3,Standard,Late,Alley,EROCI,7
2018,2,14,Tehama,3,Standard,Late,Alley,BROIN,1
2018,2,14,Tehama,3,Standard,Late,Alley,CONAR,2
2018,2,14,Tehama,3,Standard,Late,Alley,CAPBP,1
2018,2,14,Tehama,3,Standard,Late,Alley,EPHMA,1
2018,2,14,Tehama,3,Standard,Late,Alley,MEDPO,1
2018,2,14,Tehama,3,Standard,Late,Alley,RANPF,1
2018,2,14,Tehama,3,Standard,Late,Alley,NONE,23
2018,2,14,Tehama,3,Standard,Late,Strip,CONAR,2
2018,2,14,Tehama,3,Standard,Late,Strip,CYNDA,3
2018,2,14,Tehama,3,Standard,Late,Strip,VICVI,1
2018,2,14,Tehama,3,Standard,Late,Strip,EPHMA,1
2018,2,14,Tehama,3,Standard,Late,Strip,TRFRE,1
2018,2,14,Tehama,3,Standard,Late,Strip,NONE,42
2018,2,14,Tehama,3,Pollinator,Late,Alley,SINAL,50
2018,2,14,Tehama,3,Pollinator,Late,Strip,SINAL,3
2018,2,14,Tehama,3,Pollinator,Late,Strip,EPHMA,1
2018,2,14,Tehama,3,Pollinator,Late,Strip,CYNDA,4
2018,2,14,Tehama,3,Pollinator,Late,Strip,NONE,42
2018,2,14,Tehama,3,Soil,Late,Alley,SINAL,46
2018,2,14,Tehama,3,Soil,Late,Alley,LOLMU,3
2018,2,14,Tehama,3,Soil,Late,Alley,RAPSR,1
2018,2,14,Tehama,3,Soil,Late,Strip,BROIN,1
2018,2,14,Tehama,3,Soil,Late,Strip,CYNDA,6
2018,2,14,Tehama,3,Soil,Late,Strip,CONAR,2
2018,2,14,Tehama,3,Soil,Late,Strip,TRFRE,6
2018,2,14,Tehama,3,Soil,Late,Strip,NONE,35
2018,2,14,Tehama,4,Pollinator,Late,Alley,RAPSR,5
2018,2,14,Tehama,4,Pollinator,Late,Alley,BRSNN,2
2018,2,14,Tehama,4,Pollinator,Late,Alley,SINAL,43
2018,2,14,Tehama,4,Pollinator,Late,Strip,RAPSR,1
2018,2,14,Tehama,4,Pollinator,Late,Strip,CYNDA,1
2018,2,14,Tehama,4,Pollinator,Late,Strip,TRFRE,4
2018,2,14,Tehama,4,Soil,Late,Alley,RAPSR,9
2018,2,14,Tehama,4,Soil,Late,Alley,NONE,4
2018,2,14,Tehama,4,Soil,Late,Alley,LOLMU,5
2018,2,14,Tehama,4,Soil,Late,Alley,SINAL,32
2018,2,14,Tehama,4,Soil,Late,Strip,CYNDA,3
2018,2,14,Tehama,4,Soil,Late,Strip,VICVI,1
2018,2,14,Tehama,4,Soil,Late,Strip,TRFRE,2
2018,2,14,Tehama,4,Soil,Late,Strip,CONAR,1
2018,2,14,Tehama,4,Soil,Late,Strip,SONOL,1
2018,2,14,Tehama,4,Soil,Late,Strip,NONE,42
2018,2,14,Tehama,4,Standard,Late,Alley,CYNDA,8
2018,2,14,Tehama,4,Standard,Late,Alley,CONAR,3
2018,2,14,Tehama,4,Standard,Late,Alley,LACSE,1
2018,2,14,Tehama,4,Standard,Late,Alley,ANGAR,2
2018,2,14,Tehama,4,Standard,Late,Alley,EROMO,1
2018,2,14,Tehama,4,Standard,Late,Alley,EROCI,3
2018,2,14,Tehama,4,Standard,Late,Alley,NONE,32
2018,2,14,Tehama,4,Standard,Late,Strip,CONAR,1
2018,2,14,Tehama,4,Standard,Late,Strip,CYNDA,4
2018,2,14,Tehama,4,Standard,Late,Strip,NONE,44
2018,2,14,Tehama,4,Standard,Late,Strip,TRFRE,1
2018,3,29,Tehama,1,Standard,Late,Alley,MEDPO,6
2018,3,29,Tehama,1,Standard,Late,Alley,EROCI,13
2018,3,29,Tehama,1,Standard,Late,Alley,EROMO,16
2018,3,29,Tehama,1,Standard,Late,Alley,PLALA,1
2018,3,29,Tehama,1,Standard,Late,Alley,LOLMU,4
2018,3,29,Tehama,1,Standard,Late,Alley,ERICA,2
2018,3,29,Tehama,1,Standard,Late,Alley,SENVU,1
2018,3,29,Tehama,1,Standard,Late,Alley,CAPBP,1
2018,3,29,Tehama,1,Standard,Late,Alley,ANGAR,1
2018,3,29,Tehama,1,Standard,Late,Alley,CONAR,1
2018,3,29,Tehama,1,Standard,Late,Alley,POAAN,2
2018,3,29,Tehama,1,Standard,Late,Alley,TAROF,2
2018,3,29,Tehama,1,Standard,Late,Strip,LOLMU,1
2018,3,29,Tehama,1,Standard,Late,Strip,CAPBP,1
2018,3,29,Tehama,1,Standard,Late,Strip,MEDPO,2
2018,3,29,Tehama,1,Standard,Late,Strip,CONAR,4
2018,3,29,Tehama,1,Standard,Late,Strip,SONOL,1
2018,3,29,Tehama,1,Standard,Late,Strip,TRFRE,1
2018,3,29,Tehama,1,Standard,Late,Strip,VICVI,3
2018,3,29,Tehama,1,Standard,Late,Strip,CYNDA,2
2018,3,29,Tehama,1,Standard,Late,Strip,NONE,35
2018,3,29,Tehama,1,Pollinator,Late,Alley,SINAL,50
2018,3,29,Tehama,1,Pollinator,Late,Strip,VICVI,1
2018,3,29,Tehama,1,Pollinator,Late,Strip,SINAL,4
2018,3,29,Tehama,1,Pollinator,Late,Strip,CONAR,8
2018,3,29,Tehama,1,Pollinator,Late,Strip,CYNDA,1
2018,3,29,Tehama,1,Pollinator,Late,Strip,TRFRE,2
2018,3,29,Tehama,1,Pollinator,Late,Strip,NONE,34
2018,3,29,Tehama,1,Soil,Late,Alley,SINAL,40
2018,3,29,Tehama,1,Soil,Late,Alley,LOLMU,10
2018,3,29,Tehama,1,Soil,Late,Strip,SINAL,2
2018,3,29,Tehama,1,Soil,Late,Strip,MEDPO,2
2018,3,29,Tehama,1,Soil,Late,Strip,VICVI,4
2018,3,29,Tehama,1,Soil,Late,Strip,CYNDA,1
2018,3,29,Tehama,1,Soil,Late,Strip,CONAR,1
2018,3,29,Tehama,1,Soil,Late,Strip,TRFRE,4
2018,3,29,Tehama,1,Soil,Late,Strip,NONE,36
2018,3,29,Tehama,2,Standard,Late,Alley,RANPF,3
2018,3,29,Tehama,2,Standard,Late,Alley,LOLMU,2
2018,3,29,Tehama,2,Standard,Late,Alley,POAAN,3
2018,3,29,Tehama,2,Standard,Late,Alley,CAPBP,8
2018,3,29,Tehama,2,Standard,Late,Alley,EROMO,7
2018,3,29,Tehama,2,Standard,Late,Alley,MEDPO,4
2018,3,29,Tehama,2,Standard,Late,Alley,TRFRE,6
2018,3,29,Tehama,2,Standard,Late,Alley,EROCI,8
2018,3,29,Tehama,2,Standard,Late,Alley,PLALA,3
2018,3,29,Tehama,2,Standard,Late,Alley,NONE,1
2018,3,29,Tehama,2,Standard,Late,Alley,ANGAR,3
2018,3,29,Tehama,2,Standard,Late,Alley,VICVI,2
2018,3,29,Tehama,2,Standard,Late,Strip,ANGAR,3
2018,3,29,Tehama,2,Standard,Late,Strip,VICVI,3
2018,3,29,Tehama,2,Standard,Late,Strip,LOLMU,1
2018,3,29,Tehama,2,Standard,Late,Strip,LACSE,1
2018,3,29,Tehama,2,Standard,Late,Strip,EROCI,1
2018,3,29,Tehama,2,Standard,Late,Strip,EROMO,1
2018,3,29,Tehama,2,Standard,Late,Strip,CYNDA,9
2018,3,29,Tehama,2,Standard,Late,Strip,MEDPO,2
2018,3,29,Tehama,2,Standard,Late,Strip,TRFRE,2
2018,3,29,Tehama,2,Standard,Late,Strip,NONE,27
2018,3,29,Tehama,2,Soil,Late,Alley,SINAL,41
2018,3,29,Tehama,2,Soil,Late,Alley,LOLMU,9
2018,3,29,Tehama,2,Soil,Late,Strip,SINAL,2
2018,3,29,Tehama,2,Soil,Late,Strip,CYNDA,3
2018,3,29,Tehama,2,Soil,Late,Strip,VICVI,2
2018,3,29,Tehama,2,Soil,Late,Strip,TRFRE,4
2018,3,29,Tehama,2,Soil,Late,Strip,NONE,39
2018,3,29,Tehama,2,Pollinator,Late,Alley,SINAL,50
2018,3,29,Tehama,2,Pollinator,Late,Strip,SINAL,1
2018,3,29,Tehama,2,Pollinator,Late,Strip,CYNDA,3
2018,3,29,Tehama,2,Pollinator,Late,Strip,TRFRE,6
2018,3,29,Tehama,2,Pollinator,Late,Strip,MEDPO,1
2018,3,29,Tehama,2,Pollinator,Late,Strip,NONE,39
2018,3,29,Tehama,3,Standard,Late,Alley,CONAR,6
2018,3,29,Tehama,3,Standard,Late,Alley,VICVI,6
2018,3,29,Tehama,3,Standard,Late,Alley,EROMO,11
2018,3,29,Tehama,3,Standard,Late,Alley,CYNDA,1
2018,3,29,Tehama,3,Standard,Late,Alley,ANGAR,10
2018,3,29,Tehama,3,Standard,Late,Alley,EROCI,5
2018,3,29,Tehama,3,Standard,Late,Alley,POAAN,5
2018,3,29,Tehama,3,Standard,Late,Alley,TRFRE,2
2018,3,29,Tehama,3,Standard,Late,Alley,CAPBP,1
2018,3,29,Tehama,3,Standard,Late,Alley,SENVU,1
2018,3,29,Tehama,3,Standard,Late,Alley,NONE,2
2018,3,29,Tehama,3,Standard,Late,Strip,VICVI,6
2018,3,29,Tehama,3,Standard,Late,Strip,CONAR,7
2018,3,29,Tehama,3,Standard,Late,Strip,CYNDA,6
2018,3,29,Tehama,3,Standard,Late,Strip,TRFRE,2
2018,3,29,Tehama,3,Standard,Late,Strip,NONE,29
2018,3,29,Tehama,3,Pollinator,Late,Alley,SINAL,50
2018,3,29,Tehama,3,Pollinator,Late,Strip,CYNDA,4
2018,3,29,Tehama,3,Pollinator,Late,Strip,TRFRE,2
2018,3,29,Tehama,3,Pollinator,Late,Strip,CYPES,1
2018,3,29,Tehama,3,Pollinator,Late,Strip,NONE,43
2018,3,29,Tehama,3,Soil,Late,Alley,SINAL,36
2018,3,29,Tehama,3,Soil,Late,Alley,LOLMU,14
2018,3,29,Tehama,3,Soil,Late,Strip,SINAL,1
2018,3,29,Tehama,3,Soil,Late,Strip,VICVI,1
2018,3,29,Tehama,3,Soil,Late,Strip,CONAR,3
2018,3,29,Tehama,3,Soil,Late,Strip,CYNDA,11
2018,3,29,Tehama,3,Soil,Late,Strip,TRFRE,6
2018,3,29,Tehama,3,Soil,Late,Strip,NONE,28
2018,3,29,Tehama,4,Pollinator,Late,Alley,SINAL,50
2018,3,29,Tehama,4,Pollinator,Late,Strip,CYNDA,3
2018,3,29,Tehama,4,Pollinator,Late,Strip,VICVI,2
2018,3,29,Tehama,4,Pollinator,Late,Strip,TRFRE,3
2018,3,29,Tehama,4,Pollinator,Late,Strip,NONE,42
2018,3,29,Tehama,4,Soil,Late,Alley,LOLMU,12
2018,3,29,Tehama,4,Soil,Late,Alley,SINAL,38
2018,3,29,Tehama,4,Soil,Late,Strip,RANPF,1
2018,3,29,Tehama,4,Soil,Late,Strip,LACSE,1
2018,3,29,Tehama,4,Soil,Late,Strip,VICVI,2
2018,3,29,Tehama,4,Soil,Late,Strip,CONAR,3
2018,3,29,Tehama,4,Soil,Late,Strip,TRFRE,6
2018,3,29,Tehama,4,Soil,Late,Strip,CYNDA,5
2018,3,29,Tehama,4,Soil,Late,Strip,NONE,32
2018,3,29,Tehama,4,Standard,Late,Alley,LOLMU,6
2018,3,29,Tehama,4,Standard,Late,Alley,CAPBP,1
2018,3,29,Tehama,4,Standard,Late,Alley,ANGAR,12
2018,3,29,Tehama,4,Standard,Late,Alley,EROMO,4
2018,3,29,Tehama,4,Standard,Late,Alley,VICVI,3
2018,3,29,Tehama,4,Standard,Late,Alley,PLALA,2
2018,3,29,Tehama,4,Standard,Late,Alley,TRFRE,3
2018,3,29,Tehama,4,Standard,Late,Alley,CONAR,2
2018,3,29,Tehama,4,Standard,Late,Alley,SONOL,1
2018,3,29,Tehama,4,Standard,Late,Alley,ERICA,1
2018,3,29,Tehama,4,Standard,Late,Alley,CYNDA,1
2018,3,29,Tehama,4,Standard,Late,Alley,SINAL,3
2018,3,29,Tehama,4,Standard,Late,Alley,RANPF,1
2018,3,29,Tehama,4,Standard,Late,Alley,POAAN,2
2018,3,29,Tehama,4,Standard,Late,Alley,TAROF,1
2018,3,29,Tehama,4,Standard,Late,Alley,EROCI,3
2018,3,29,Tehama,4,Standard,Late,Alley,SENVU,1
2018,3,29,Tehama,4,Standard,Late,Alley,NONE,3
2018,3,29,Tehama,4,Standard,Late,Strip,LOLMU,1
2018,3,29,Tehama,4,Standard,Late,Strip,CYNDA,8
2018,3,29,Tehama,4,Standard,Late,Strip,CONAR,6
2018,3,29,Tehama,4,Standard,Late,Strip,ANGAR,1
2018,3,29,Tehama,4,Standard,Late,Strip,MEDPO,1
2018,3,29,Tehama,4,Standard,Late,Strip,VICVI,2
2018,3,29,Tehama,4,Standard,Late,Strip,TRFRE,5
2018,3,29,Tehama,4,Standard,Late,Strip,NONE,26
2018,2,16,Kern,1,Pollinator,Late,Alley,SINAL,11
2018,2,16,Kern,1,Pollinator,Late,Alley,STEME,23
2018,2,16,Kern,1,Pollinator,Late,Alley,RAPSR,3
2018,2,16,Kern,1,Pollinator,Late,Alley,POAAN,7
2018,2,16,Kern,1,Pollinator,Late,Alley,NONE,6
2018,2,16,Kern,1,Pollinator,Late,Strip,SINAL,2
2018,2,16,Kern,1,Pollinator,Late,Strip,STEME,5
2018,2,16,Kern,1,Pollinator,Late,Strip,POAAN,1
2018,2,16,Kern,1,Pollinator,Late,Strip,NONE,42
2018,2,16,Kern,1,Soil,Late,Alley,STEME,16
2018,2,16,Kern,1,Soil,Late,Alley,SINAL,2
2018,2,16,Kern,1,Soil,Late,Alley,LOLMU,9
2018,2,16,Kern,1,Soil,Late,Alley,VICVI,2
2018,2,16,Kern,1,Soil,Late,Alley,POAAN,3
2018,2,16,Kern,1,Soil,Late,Alley,RAPSR,2
2018,2,16,Kern,1,Soil,Late,Alley,NONE,16
2018,2,16,Kern,1,Soil,Late,Strip,STEME,8
2018,2,16,Kern,1,Soil,Late,Strip,NONE,42
2018,2,16,Kern,1,Standard,Late,Alley,NONE,50
2018,2,16,Kern,1,Standard,Late,Strip,NONE,50
2018,2,16,Kern,1,Controlled,Late,Alley,NONE,50
2018,2,16,Kern,1,Controlled,Late,Strip,NONE,50
2018,2,16,Kern,2,Standard,Late,Alley,STEME,5
2018,2,16,Kern,2,Standard,Late,Alley,POAAN,2
2018,2,16,Kern,2,Standard,Late,Alley,NONE,43
2018,2,16,Kern,2,Standard,Late,Strip,NONE,50
2018,2,16,Kern,2,Pollinator,Late,Alley,STEME,7
2018,2,16,Kern,2,Pollinator,Late,Alley,RAPSR,1
2018,2,16,Kern,2,Pollinator,Late,Alley,SINAL,5
2018,2,16,Kern,2,Pollinator,Late,Alley,POAAN,6
2018,2,16,Kern,2,Pollinator,Late,Alley,NONE,31
2018,2,16,Kern,2,Pollinator,Late,Strip,NONE,50
2018,2,16,Kern,2,Soil,Late,Alley,POAAN,5
2018,2,16,Kern,2,Soil,Late,Alley,SINAL,5
2018,2,16,Kern,2,Soil,Late,Alley,LOLMU,5
2018,2,16,Kern,2,Soil,Late,Alley,STEME,12
2018,2,16,Kern,2,Soil,Late,Alley,RAPSR,1
2018,2,16,Kern,2,Soil,Late,Alley,VICVI,1
2018,2,16,Kern,2,Soil,Late,Alley,NONE,21
2018,2,16,Kern,2,Soil,Late,Strip,NONE,50
2018,2,16,Kern,2,Controlled,Late,Alley,NONE,50
2018,2,16,Kern,2,Controlled,Late,Strip,NONE,50
2018,2,16,Kern,3,Standard,Late,Alley,POAAN,2
2018,2,16,Kern,3,Standard,Late,Alley,STEME,1
2018,2,16,Kern,3,Standard,Late,Alley,NONE,47
2018,2,16,Kern,3,Standard,Late,Strip,NONE,50
2018,2,16,Kern,3,Controlled,Late,Alley,NONE,50
2018,2,16,Kern,3,Controlled,Late,Strip,NONE,50
2018,2,16,Kern,3,Soil,Late,Alley,RAPSR,3
2018,2,16,Kern,3,Soil,Late,Alley,SINAL,7
2018,2,16,Kern,3,Soil,Late,Alley,VICVI,3
2018,2,16,Kern,3,Soil,Late,Alley,LOLMU,7
2018,2,16,Kern,3,Soil,Late,Alley,TRFRE,1
2018,2,16,Kern,3,Soil,Late,Alley,NONE,29
2018,2,16,Kern,3,Soil,Late,Strip,NONE,50
2018,2,16,Kern,3,Pollinator,Late,Alley,SINAL,24
2018,2,16,Kern,3,Pollinator,Late,Alley,RAPSR,2
2018,2,16,Kern,3,Pollinator,Late,Alley,POAAN,1
2018,2,16,Kern,3,Pollinator,Late,Alley,NONE,23
2018,2,16,Kern,3,Pollinator,Late,Strip,NONE,50
2018,2,16,Kern,4,Soil,Late,Alley,SINAL,14
2018,2,16,Kern,4,Soil,Late,Alley,LOLMU,10
2018,2,16,Kern,4,Soil,Late,Alley,TRFRE,2
2018,2,16,Kern,4,Soil,Late,Alley,VICVI,4
2018,2,16,Kern,4,Soil,Late,Alley,STEME,1
2018,2,16,Kern,4,Soil,Late,Alley,NONE,19
2018,2,16,Kern,4,Soil,Late,Strip,NONE,50
2018,2,16,Kern,4,Controlled,Late,Alley,NONE,50
2018,2,16,Kern,4,Controlled,Late,Strip,NONE,50
2018,2,16,Kern,4,Standard,Late,Alley,NONE,50
2018,2,16,Kern,4,Standard,Late,Strip,NONE,50
2018,2,16,Kern,4,Pollinator,Late,Alley,SINAL,6
2018,2,16,Kern,4,Pollinator,Late,Alley,STEME,4
2018,2,16,Kern,4,Pollinator,Late,Alley,NONE,40
2018,2,16,Kern,4,Pollinator,Late,Strip,NONE,50
2018,3,27,Kern,1,Pollinator,Early,Alley,STEME,19
2018,3,27,Kern,1,Pollinator,Early,Alley,SINAL,13
2018,3,27,Kern,1,Pollinator,Early,Alley,POAAN,7
2018,3,27,Kern,1,Pollinator,Early,Alley,MALPA,1
2018,3,27,Kern,1,Pollinator,Early,Alley,RAPSR,3
2018,3,27,Kern,1,Pollinator,Early,Alley,NONE,7
2018,3,27,Kern,1,Pollinator,Early,Strip,NONE,50
2018,3,27,Kern,1,Pollinator,Late,Alley,SINAL,24
2018,3,27,Kern,1,Pollinator,Late,Alley,POAAN,12
2018,3,27,Kern,1,Pollinator,Late,Alley,RAPSR,2
2018,3,27,Kern,1,Pollinator,Late,Alley,STEME,8
2018,3,27,Kern,1,Pollinator,Late,Alley,BRSNN,3
2018,3,27,Kern,1,Pollinator,Late,Alley,MALPA,1
2018,3,27,Kern,1,Pollinator,Late,Strip,NONE,50
2018,3,27,Kern,1,Soil,Early,Alley,SINAL,6
2018,3,27,Kern,1,Soil,Early,Alley,LOLMU,18
2018,3,27,Kern,1,Soil,Early,Alley,POAAN,6
2018,3,27,Kern,1,Soil,Early,Alley,STEME,12
2018,3,27,Kern,1,Soil,Early,Alley,VICVI,3
2018,3,27,Kern,1,Soil,Early,Alley,RAPSR,1
2018,3,27,Kern,1,Soil,Early,Alley,MALPA,1
2018,3,27,Kern,1,Soil,Early,Alley,NONE,3
2018,3,27,Kern,1,Soil,Early,Strip,NONE,50
2018,3,27,Kern,1,Soil,Late,Alley,LOLMU,24
2018,3,27,Kern,1,Soil,Late,Alley,SINAL,7
2018,3,27,Kern,1,Soil,Late,Alley,STEME,6
2018,3,27,Kern,1,Soil,Late,Alley,RAPSR,1
2018,3,27,Kern,1,Soil,Late,Alley,VICVI,7
2018,3,27,Kern,1,Soil,Late,Alley,POAAN,3
2018,3,27,Kern,1,Soil,Late,Alley,TRFRE,2
2018,3,27,Kern,1,Soil,Late,Strip,NONE,50
2018,3,27,Kern,1,Standard,Late,Alley,POAAN,2
2018,3,27,Kern,1,Standard,Late,Alley,STEME,4
2018,3,27,Kern,1,Standard,Late,Alley,NONE,44
2018,3,27,Kern,1,Standard,Late,Strip,NONE,50
2018,3,27,Kern,1,Controlled,Late,Alley,STEME,7
2018,3,27,Kern,1,Controlled,Late,Alley,POAAN,1
2018,3,27,Kern,1,Controlled,Late,Alley,NONE,42
2018,3,27,Kern,1,Controlled,Late,Strip,NONE,50
2018,3,27,Kern,2,Standard,Late,Alley,CAPBP,1
2018,3,27,Kern,2,Standard,Late,Alley,POAAN,10
2018,3,27,Kern,2,Standard,Late,Alley,STEME,7
2018,3,27,Kern,2,Standard,Late,Alley,NONE,32
2018,3,27,Kern,2,Standard,Late,Strip,NONE,50
2018,3,27,Kern,2,Pollinator,Early,Alley,SINAL,15
2018,3,27,Kern,2,Pollinator,Early,Alley,MALPA,1
2018,3,27,Kern,2,Pollinator,Early,Alley,POAAN,21
2018,3,27,Kern,2,Pollinator,Early,Alley,BRSNN,2
2018,3,27,Kern,2,Pollinator,Early,Alley,STEME,6
2018,3,27,Kern,2,Pollinator,Early,Alley,RAPSR,1
2018,3,27,Kern,2,Pollinator,Early,Alley,NONE,4
2018,3,27,Kern,2,Pollinator,Early,Strip,NONE,50
2018,3,27,Kern,2,Pollinator,Late,Alley,SINAL,14
2018,3,27,Kern,2,Pollinator,Late,Alley,STEME,11
2018,3,27,Kern,2,Pollinator,Late,Alley,POAAN,10
2018,3,27,Kern,2,Pollinator,Late,Alley,BRSNN,2
2018,3,27,Kern,2,Pollinator,Late,Alley,NONE,13
2018,3,27,Kern,2,Pollinator,Late,Strip,NONE,50
2018,3,27,Kern,2,Soil,Early,Alley,SINAL,9
2018,3,27,Kern,2,Soil,Early,Alley,LOLMU,12
2018,3,27,Kern,2,Soil,Early,Alley,STEME,14
2018,3,27,Kern,2,Soil,Early,Alley,POAN,11
2018,3,27,Kern,2,Soil,Early,Alley,VICVI,1
2018,3,27,Kern,2,Soil,Early,Alley,NONE,3
2018,3,27,Kern,2,Soil,Early,Strip,NONE,50
2018,3,27,Kern,2,Soil,Late,Alley,SINAL,16
2018,3,27,Kern,2,Soil,Late,Alley,LOLMU,16
2018,3,27,Kern,2,Soil,Late,Alley,POAAN,8
2018,3,27,Kern,2,Soil,Late,Alley,STEME,3
2018,3,27,Kern,2,Soil,Late,Alley,VICVI,4
2018,3,27,Kern,2,Soil,Late,Alley,BRSNN,1
2018,3,27,Kern,2,Soil,Late,Alley,NONE,2
2018,3,27,Kern,2,Soil,Late,Strip,NONE,50
2018,3,27,Kern,2,Controlled,Late,Strip,STEME,1
2018,3,27,Kern,2,Controlled,Late,Strip,NONE,49
2018,3,27,Kern,2,Controlled,Late,Alley,NONE,50
2018,3,27,Kern,3,Standard,Late,Alley,POAAN,18
2018,3,27,Kern,3,Standard,Late,Alley,STEME,7
2018,3,27,Kern,3,Standard,Late,Alley,NONE,25
2018,3,27,Kern,3,Standard,Late,Strip,NONE,50
2018,3,27,Kern,3,Controlled,Late,Alley,STEME,2
2018,3,27,Kern,3,Controlled,Late,Alley,NONE,48
2018,3,27,Kern,3,Controlled,Late,Strip,NONE,50
2018,3,27,Kern,3,Soil,Early,Alley,LOLMU,17
2018,3,27,Kern,3,Soil,Early,Alley,POAAN,13
2018,3,27,Kern,3,Soil,Early,Alley,TRFRE,1
2018,3,27,Kern,3,Soil,Early,Alley,VICVI,3
2018,3,27,Kern,3,Soil,Early,Alley,SINAL,4
2018,3,27,Kern,3,Soil,Early,Alley,STEME,6
2018,3,27,Kern,3,Soil,Early,Alley,RAPSR,1
2018,3,27,Kern,3,Soil,Early,Alley,NONE,5
2018,3,27,Kern,3,Soil,Early,Strip,NONE,50
2018,3,27,Kern,3,Soil,Late,Alley,SINAL,10
2018,3,27,Kern,3,Soil,Late,Alley,LOLMU,30
2018,3,27,Kern,3,Soil,Late,Alley,BRSNN,2
2018,3,27,Kern,3,Soil,Late,Alley,STEME,2
2018,3,27,Kern,3,Soil,Late,Alley,POAAN,1
2018,3,27,Kern,3,Soil,Late,Alley,VICVI,1
2018,3,27,Kern,3,Soil,Late,Alley,NONE,4
2018,3,27,Kern,3,Soil,Late,Strip,NONE,50
2018,3,27,Kern,3,Pollinator,Early,Alley,POAAN,16
2018,3,27,Kern,3,Pollinator,Early,Alley,SINAL,11
2018,3,27,Kern,3,Pollinator,Early,Alley,STEME,4
